Date,Name,Amount,Analysis_Status,Exclusion_Reason,Category,Source,Type,Status,Date_parsed,Month,MonthName,MonthNum
12/31/2025,,10.75,Excluded,Money In / Refund,Excluded,Personal,General Card Deposit,Completed,2025-12-31,2025-12,December,12
12/31/2025,MTA*NYCT PAYGO,-2.9,Included (True Spend),,Transportation,Business/Main,General PayPal Debit Card Transaction,Completed,2025-12-31,2025-12,December,12
12/31/2025,1037 NOSTRAND DELI LLC,-6.76,Included (True Spend),,Grocery/Daily,Business/Main,General PayPal Debit Card Transaction,Completed,2025-12-31,2025-12,December,12
12/31/2025,1037 NOSTRAND DELI LLC,-6.76,Included (True Spend),,Grocery/Daily,Business/Main,General Authorization,Completed,2025-12-31,2025-12,December,12
12/31/2025,Apple Services,-10.99,Included (True Spend),,Tech & Subs,Personal,PreApproved Payment Bill User Payment,Completed,2025-12-31,2025-12,December,12
12/31/2025,MTA*NYCT PAYGO,-2.9,Included (True Spend),,Transportation,Business/Main,General Authorization,Completed,2025-12-31,2025-12,December,12
12/31/2025,PayPal,2.9,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed,2025-12-31,2025-12,December,12
12/31/2025,PayPal,6.76,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed,2025-12-31,2025-12,December,12
12/30/2025,MTA*NYCT PAYGO,-2.9,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending,2025-12-30,2025-12,December,12
12/30/2025,TARGET.COM,-70.59,Excluded,Non-Finalized (Status: Reversed),Excluded,Business/Main,Void of Authorization,Reversed,2025-12-30,2025-12,December,12
12/30/2025,PayPal,-24.93,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending,2025-12-30,2025-12,December,12
12/30/2025,"Uber Technologies, Inc",-24.93,Included (True Spend),,Transportation,Business/Main,PreApproved Payment Bill User Payment,Completed,2025-12-30,2025-12,December,12
12/30/2025,"Uber Technologies, Inc",-23.95,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending,2025-12-30,2025-12,December,12
12/30/2025,"Uber Technologies, Inc",-23.73,Included (True Spend),,Transportation,Business/Main,PreApproved Payment Bill User Payment,Completed,2025-12-30,2025-12,December,12
12/30/2025,PayPal Inc.,-8.86,Included (True Spend),,Financial Services,Business/Main,Other,Completed,2025-12-30,2025-12,December,12
12/30/2025,PayPal,-8.49,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending,2025-12-30,2025-12,December,12
12/30/2025,WONDER,-8.49,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending,2025-12-30,2025-12,December,12
12/30/2025,WONDER,-8.49,Included (True Spend),,Dining/Restaurants,Business/Main,General PayPal Debit Card Transaction,Completed,2025-12-30,2025-12,December,12
12/30/2025,PayPal,-1.7,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending,2025-12-30,2025-12,December,12
12/30/2025,PayPal,1.7,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed,2025-12-30,2025-12,December,12
12/30/2025,PayPal,8.49,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed,2025-12-30,2025-12,December,12
12/30/2025,PayPal,8.86,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed,2025-12-30,2025-12,December,12
12/30/2025,,22.03,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Bank Deposit to PP Account ,Pending,2025-12-30,2025-12,December,12
12/30/2025,PayPal,24.93,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed,2025-12-30,2025-12,December,12
12/30/2025,MARBLE,49.0,Excluded,Non-Finalized (Status: Denied),Excluded,Business/Main,General PayPal Debit Card Transaction,Denied,2025-12-30,2025-12,December,12
12/30/2025,PayPal,-2.9,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending,2025-12-30,2025-12,December,12
12/29/2025,PayPal,-3.9,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending,2025-12-29,2025-12,December,12
12/29/2025,APPLE.COM/BILL,-12.99,Included (True Spend),,Tech & Subs,Business/Main,General Authorization,Completed,2025-12-29,2025-12,December,12
12/29/2025,1037 NOSTRAND DELI LLC,-6.76,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending,2025-12-29,2025-12,December,12
12/29/2025,1037 NOSTRAND DELI LLC,-7.8,Included (True Spend),,Grocery/Daily,Business/Main,General Authorization,Completed,2025-12-29,2025-12,December,12
12/29/2025,1037 NOSTRAND DELI LLC,-7.8,Included (True Spend),,Grocery/Daily,Business/Main,General PayPal Debit Card Transaction,Completed,2025-12-29,2025-12,December,12
12/29/2025,PayPal,-20.58,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending,2025-12-29,2025-12,December,12
12/29/2025,APPLE.COM/BILL,-12.99,Included (True Spend),,Tech & Subs,Business/Main,General PayPal Debit Card Transaction,Completed,2025-12-29,2025-12,December,12
12/29/2025,WONDER,-20.58,Included (True Spend),,Dining/Restaurants,Business/Main,General PayPal Debit Card Transaction,Completed,2025-12-29,2025-12,December,12
12/29/2025,WONDER,-20.58,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending,2025-12-29,2025-12,December,12
12/29/2025,PayPal,-6.76,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending,2025-12-29,2025-12,December,12
12/29/2025,PayPal,20.58,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed,2025-12-29,2025-12,December,12
12/29/2025,WONDER,-3.9,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending,2025-12-29,2025-12,December,12
12/29/2025,APPLE.COM/BILL,-2.17,Included (True Spend),,Tech & Subs,Business/Main,General PayPal Debit Card Transaction,Completed,2025-12-29,2025-12,December,12
12/29/2025,APPLE.COM/BILL,-2.17,Included (True Spend),,Tech & Subs,Business/Main,General Authorization,Completed,2025-12-29,2025-12,December,12
12/29/2025,PayPal,2.17,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed,2025-12-29,2025-12,December,12
12/29/2025,PayPal,3.9,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed,2025-12-29,2025-12,December,12
12/29/2025,PayPal,7.8,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed,2025-12-29,2025-12,December,12
12/29/2025,PayPal,12.99,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed,2025-12-29,2025-12,December,12
12/29/2025,WONDER,-3.9,Included (True Spend),,Dining/Restaurants,Business/Main,General PayPal Debit Card Transaction,Completed,2025-12-29,2025-12,December,12
12/28/2025,T & T Organic Market I,-20.8,Included (True Spend),,Grocery/Daily,Business/Main,General PayPal Debit Card Transaction,Completed,2025-12-28,2025-12,December,12
12/28/2025,WONDER,-19.88,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending,2025-12-28,2025-12,December,12
12/28/2025,PayPal,-19.88,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending,2025-12-28,2025-12,December,12
12/28/2025,T & T Organic Market I,-20.8,Included (True Spend),,Grocery/Daily,Business/Main,General Authorization,Completed,2025-12-28,2025-12,December,12
12/28/2025,PayPal,-44.48,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending,2025-12-28,2025-12,December,12
12/28/2025,WONDER,-28.2,Included (True Spend),,Dining/Restaurants,Business/Main,General Authorization,Completed,2025-12-28,2025-12,December,12
12/28/2025,WONDER,-44.48,Included (True Spend),,Dining/Restaurants,Business/Main,General PayPal Debit Card Transaction,Completed,2025-12-28,2025-12,December,12
12/28/2025,WONDER,-44.48,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending,2025-12-28,2025-12,December,12
12/28/2025,APPLE.COM/BILL,-12.99,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending,2025-12-28,2025-12,December,12
12/28/2025,WONDER,-19.88,Included (True Spend),,Dining/Restaurants,Business/Main,General PayPal Debit Card Transaction,Completed,2025-12-28,2025-12,December,12
12/28/2025,WONDER,-28.2,Included (True Spend),,Dining/Restaurants,Business/Main,General PayPal Debit Card Transaction,Completed,2025-12-28,2025-12,December,12
12/28/2025,PayPal,-12.99,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending,2025-12-28,2025-12,December,12
12/28/2025,PayPal,19.88,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed,2025-12-28,2025-12,December,12
12/28/2025,PayPal,44.48,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed,2025-12-28,2025-12,December,12
12/28/2025,PayPal,20.8,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed,2025-12-28,2025-12,December,12
12/28/2025,1037 NOSTRAND DELI LLC,-7.8,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending,2025-12-28,2025-12,December,12
12/28/2025,PayPal,28.2,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed,2025-12-28,2025-12,December,12
12/28/2025,,2.42,Excluded,Money In / Refund,Excluded,Business/Main,Debit Card Cash Back Bonus,Completed,2025-12-28,2025-12,December,12
12/28/2025,PayPal,-2.17,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending,2025-12-28,2025-12,December,12
12/28/2025,APPLE.COM/BILL,-2.17,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending,2025-12-28,2025-12,December,12
12/28/2025,PayPal,-7.8,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending,2025-12-28,2025-12,December,12
12/27/2025,APPLE.COM/BILL,-16.31,Included (True Spend),,Tech & Subs,Business/Main,General PayPal Debit Card Transaction,Completed,2025-12-27,2025-12,December,12
12/27/2025,Farfetch.c,-166.96,Excluded,Non-Finalized (Status: Reversed),Excluded,Business/Main,Void of Authorization,Reversed,2025-12-27,2025-12,December,12
12/27/2025,PayPal Inc.,-166.96,Included (True Spend),,Financial Services,Business/Main,Other,Completed,2025-12-27,2025-12,December,12
12/27/2025,PayPal,-28.2,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending,2025-12-27,2025-12,December,12
12/27/2025,WONDER,-28.2,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending,2025-12-27,2025-12,December,12
