"Date","Transaction ID","Transaction Type","Currency","Amount","Fee","Net Amount","Asset Type","Asset Price","Asset Amount","Status","Notes","Name of sender/receiver","Account"
"2025-03-12 02:02:18 EDT","","Account Notifications","USD","$0.00","","$0.00","","","","COMPLETE","New device login","","Cash Balance"
"2025-03-12 00:12:26 EDT","","Cash Card","USD","-$31.52","$0.00","-$31.52","","","","WAITING_ON_RECIPIENT","MAMA PHO - GRAND ST","","Cash Balance"
"2025-03-11 21:00:10 EDT","","Cash Card","USD","-$8.25","$0.00","-$8.25","","","","WAITING_ON_RECIPIENT","DM 561","","Cash Balance"
"2025-03-11 19:53:27 EDT","","Cash Card","USD","-$2.83","$0.00","-$2.83","","","","WAITING_ON_RECIPIENT","NEW YORK SMOKE SHOP","","Cash Balance"
"2025-03-11 19:49:35 EDT","","Cash Card","USD","-$11.33","$0.00","-$11.33","","","","WAITING_ON_RECIPIENT","NEW YORK SMOKE SHOP","","Cash Balance"
"2025-03-11 17:23:34 EDT","","Cash Card","USD","-$50.00","$0.00","-$50.00","","","","WAITING_ON_RECIPIENT","PY *MANHATTAN MINI 1985","","Cash Balance"
"2025-03-11 17:22:54 EDT","","Cash Card","USD","-$50.00","$0.00","-$50.00","","","","FAILED","PY *MANHATTAN MINI 1985","","Cash Balance"
"2025-03-11 16:42:17 EDT","","Cash Card","USD","$196.60","$0.00","$196.60","","","","COMPLETE","APPLE CASH INST XFER","","Cash Balance"
"2025-03-11 15:48:24 EDT","","Cash Card","USD","-$363.00","$0.00","-$363.00","","","","WAITING_ON_RECIPIENT","APPLE CASH BALANCE ADD","","Cash Balance"
"2025-03-11 11:47:56 EDT","","Cash Card","USD","-$1.00","$0.00","-$1.00","","","","WAITING_ON_RECIPIENT","RESIDENCE INN NEW YORK","","Cash Balance"
"2025-03-11 11:47:41 EDT","","Cash Card","USD","$216.70","$0.00","$216.70","","","","COMPLETE","APPLE CASH INST XFER","","Cash Balance"
"2025-03-11 11:22:48 EDT","","Cash Card","USD","-$230.00","$0.00","-$230.00","","","","WAITING_ON_RECIPIENT","APPLE CASH BALANCE ADD","","Cash Balance"
"2025-03-11 10:58:51 EDT","","Cash Card","USD","$187.15","$0.00","$187.15","","","","COMPLETE","APPLE CASH INST XFER","","Cash Balance"
"2025-03-10 23:41:36 EDT","","Cash Card","USD","-$14.03","$0.00","-$14.03","","","","WAITING_ON_RECIPIENT","THE BEST OF NEW YORK FOOD","","Cash Balance"
"2025-03-10 22:10:51 EDT","","Cash Card","USD","-$1.96","$0.00","-$1.96","","","","COMPLETE","THE HANDPULLED NOODL","","Cash Balance"
"2025-03-10 22:00:18 EDT","","Cash Card","USD","-$34.73","$0.00","-$34.73","","","","COMPLETE","DD *THEHANDPULLEDNOOD","","Cash Balance"
"2025-03-10 18:01:02 EDT","","Cash Card","USD","-$10.00","$0.00","-$10.00","","","","WAITING_ON_RECIPIENT","APPLE CASH BALANCE ADD","","Cash Balance"
"2025-03-10 15:07:01 EDT","","Cash Card","USD","-$15.00","$0.00","-$15.00","","","","WAITING_ON_RECIPIENT","APPLE CASH BALANCE ADD","","Cash Balance"
"2025-03-10 15:06:41 EDT","","Cash Card","USD","-$10.00","$0.00","-$10.00","","","","WAITING_ON_RECIPIENT","APPLE CASH BALANCE ADD","","Cash Balance"
"2025-03-10 14:07:59 EDT","","Cash Card","USD","-$15.00","$0.00","-$15.00","","","","WAITING_ON_RECIPIENT","IPARK 47","","Cash Balance"
"2025-03-10 13:02:40 EDT","","Cash Card","USD","-$52.00","$0.00","-$52.00","","","","WAITING_ON_RECIPIENT","IPARK 47","","Cash Balance"
"2025-03-10 11:49:01 EDT","","Cash Card","USD","$98.50","$0.00","$98.50","","","","COMPLETE","APPLE CASH INST XFER","","Cash Balance"
"2025-03-10 11:45:32 EDT","","Cash Card","USD","$98.50","$0.00","$98.50","","","","COMPLETE","APPLE CASH INST XFER","","Cash Balance"
"2025-03-10 03:10:42 EDT","","Cash Card","USD","-$1.56","$0.00","-$1.56","","","","COMPLETE","GRAND GOURMET DELI CORP","","Cash Balance"
"2025-03-10 01:43:26 EDT","","Cash Card","USD","-$222.37","$0.00","-$222.37","","","","WAITING_ON_RECIPIENT","RESIDENCE INN NEW YORK","","Cash Balance"
"2025-03-10 01:42:58 EDT","","Cash Card","USD","$366.36","$0.00","$366.36","","","","COMPLETE","PAYPAL*Tuerxuntuoheti Aiz","","Cash Balance"
"2025-03-10 00:36:37 EDT","","Cash Card","USD","-$200.00","$0.00","-$200.00","","","","COMPLETE","APPLE CASH BALANCE ADD","","Cash Balance"
"2025-03-10 00:36:16 EDT","","Cash Card","USD","-$200.00","$0.00","-$200.00","","","","FAILED","APPLE CASH BALANCE ADD","","Cash Balance"
"2025-03-09 23:58:40 EDT","","Cash Card","USD","$98.25","$0.00","$98.25","","","","COMPLETE","PAYPAL*Tuerxuntuoheti Aiz","","Cash Balance"
"2025-03-09 22:26:33 EDT","","Cash Card","USD","-$20.57","$0.00","-$20.57","","","","COMPLETE","YIA YIAS- HOMEMADE","","Cash Balance"
"2025-03-09 21:16:49 EDT","","Cash Card","USD","-$44.54","$0.00","-$44.54","","","","COMPLETE","PZG**REVEL TRANSIT INC","","Cash Balance"
"2025-03-09 21:15:10 EDT","","Cash Card","USD","-$50.00","$0.00","-$50.00","","","","FAILED","PZG**REVEL TRANSIT INC","","Cash Balance"
"2025-03-09 21:14:50 EDT","","Cash Card","USD","$166.40","$0.00","$166.40","","","","COMPLETE","PAYPAL*Tuerxuntuoheti Aiz","","Cash Balance"
"2025-03-09 20:00:47 EDT","","Cash Card","USD","-$45.00","$0.00","-$45.00","","","","COMPLETE","APPLE CASH BALANCE ADD","","Cash Balance"
"2025-03-09 19:59:41 EDT","","Cash Card","USD","$49.12","$0.00","$49.12","","","","COMPLETE","PAYPAL*Tuerxuntuoheti Aiz","","Cash Balance"
"2025-03-09 14:36:40 EDT","","Cash Card","USD","-$4.12","$0.00","-$4.12","","","","FAILED","AFFIRM.COM PAYMENTS","","Cash Balance"
"2025-03-09 14:33:43 EDT","","Cash Card","USD","-$27.75","$0.00","-$27.75","","","","FAILED","AFFIRM.COM PAYMENTS","","Cash Balance"
"2025-03-09 10:03:32 EDT","","Cash Card","USD","-$35.00","$0.00","-$35.00","","","","COMPLETE","APPLE CASH BALANCE ADD","","Cash Balance"
"2025-03-09 07:43:55 EDT","#D-PX7Q9KV1","P2P","USD","$30.00","$0.00","$30.00","","","","COMPLETE","$30 Payment From Robert Beacham","Robert Beacham","Cash Balance"
"2025-03-09 06:38:02 EDT","","Cash Card","USD","-$25.39","$0.00","-$25.39","","","","FAILED","AFFIRM.COM PAYMENTS","","Cash Balance"
"2025-03-09 06:38:00 EDT","","Cash Card","USD","-$9.71","$0.00","-$9.71","","","","FAILED","AFFIRM.COM PAYMENTS","","Cash Balance"
"2025-03-09 04:10:43 EDT","#D-RGKQ45QP","P2P","USD","-$30.00","$0.00","-$30.00","","","","COMPLETE","$30 Payment To Robert Beacham","Robert Beacham","Cash Balance"
"2025-03-09 04:09:45 EDT","","Cash Card","USD","$35.21","$0.00","$35.21","","","","COMPLETE","APPLE CASH INST XFER","","Cash Balance"
"2025-03-04 17:44:13 EST","","Cash Card","USD","-$5.00","$0.00","-$5.00","","","","FAILED","FEDEX OFFICE #980","","Cash Balance"
"2025-03-04 13:37:50 EST","","Cash Card","USD","-$27.05","$0.00","-$27.05","","","","FAILED","AFFIRM.COM PAYMENTS","","Cash Balance"
"2025-03-03 09:40:07 EST","","Cash Card","USD","-$35.00","$0.00","-$35.00","","","","COMPLETE","APPLE CASH BALANCE ADD","","Cash Balance"
"2025-03-03 09:38:26 EST","","Cash Card","USD","$22.66","$0.00","$22.66","","","","COMPLETE","APPLE CASH INST XFER","","Cash Balance"
"2025-03-03 09:37:46 EST","","Deposits","USD","$23.00","$0.00","$23.00","","","","FAILED","Add Cash","","Visa Debit 2039"
"2025-03-03 09:36:25 EST","","Cash Card","USD","$3.55","$0.00","$3.55","","","","COMPLETE","APPLE CASH INST XFER","","Cash Balance"
"2025-03-02 20:46:23 EST","","Cash Card","USD","-$2.90","$0.00","-$2.90","","","","COMPLETE","MTA*NYCT PAYGO","","Cash Balance"
"2025-03-02 19:31:29 EST","","Cash Card","USD","-$2.90","$0.00","-$2.90","","","","COMPLETE","MTA*NYCT PAYGO","","Cash Balance"
"2025-03-02 15:41:39 EST","","Cash Card","USD","-$30.00","$0.00","-$30.00","","","","COMPLETE","APPLE CASH BALANCE ADD","","Cash Balance"
"2025-03-02 13:22:35 EST","","Cash Card","USD","-$2.90","$0.00","-$2.90","","","","COMPLETE","MTA*NYCT PAYGO RECOVER","","Cash Balance"
"2025-03-02 11:01:41 EST","","Cash Card","USD","-$6.56","$0.00","-$6.56","","","","COMPLETE","DM 561","","Cash Balance"
"2025-03-02 03:27:52 EST","","Cash Card","USD","-$2.90","$0.00","-$2.90","","","","COMPLETE","MTA*NYCT PAYGO","","Cash Balance"
"2025-03-01 20:58:52 EST","","Cash Card","USD","-$34.65","$0.00","-$34.65","","","","COMPLETE","NYC TAXI 1246","","Cash Balance"
"2025-03-01 20:58:00 EST","","Cash Card","USD","-$41.60","$0.00","-$41.60","","","","FAILED","NYC TAXI 1246","","Cash Balance"
"2025-03-01 20:25:27 EST","","Cash Card","USD","-$11.98","$0.00","-$11.98","","","","FAILED","UBR* PENDING.UBER.COM","","Cash Balance"
"2025-03-01 19:49:25 EST","","Cash Card","USD","$74.86","$0.00","$74.86","","","","COMPLETE","APPLE CASH INST XFER","","Cash Balance"
"2025-03-01 18:04:40 EST","","Cash Card","USD","-$11.90","$0.00","-$11.90","","","","COMPLETE","CURB MOBILITY","","Cash Balance"
